date,city,state,aqi,pm25,pm10,no2,so2,co,category,year,month
2022-01-01,Delhi,Delhi,186.8,103.8,147.4,18.4,7.1,4.17,Moderate,2022,2022-01
2022-01-02,Delhi,Delhi,172.7,101.5,136.5,28.5,5.4,10.15,Moderate,2022,2022-01
2022-01-03,Delhi,Delhi,165.3,70.0,103.0,19.3,9.3,6.16,Moderate,2022,2022-01
2022-01-04,Delhi,Delhi,187.8,84.5,149.2,18.2,8.4,6.51,Moderate,2022,2022-01
2022-01-05,Delhi,Delhi,208.3,89.1,157.4,31.5,6.7,9.23,Poor,2022,2022-01
2022-01-06,Delhi,Delhi,170.7,71.8,98.3,33.1,13.4,8.93,Moderate,2022,2022-01
2022-01-07,Delhi,Delhi,162.4,88.4,117.9,15.4,8.9,3.47,Moderate,2022,2022-01
2022-01-08,Delhi,Delhi,169.2,101.2,110.6,27.0,7.7,6.9,Moderate,2022,2022-01
2022-01-09,Delhi,Delhi,146.2,89.6,125.7,28.2,10.9,6.42,Moderate,2022,2022-01
2022-01-10,Delhi,Delhi,180.0,108.3,105.4,18.6,5.8,5.94,Moderate,2022,2022-01
2022-01-11,Delhi,Delhi,142.8,82.7,99.0,16.2,8.2,3.66,Moderate,2022,2022-01
2022-01-12,Delhi,Delhi,159.7,91.4,92.6,31.7,11.0,4.46,Moderate,2022,2022-01
2022-01-13,Delhi,Delhi,198.5,112.2,115.1,24.4,7.1,10.83,Moderate,2022,2022-01
2022-01-14,Delhi,Delhi,196.3,104.0,134.0,17.2,8.9,6.48,Moderate,2022,2022-01
2022-01-15,Delhi,Delhi,193.7,114.8,143.1,18.3,12.7,9.77,Moderate,2022,2022-01
2022-01-16,Delhi,Delhi,205.7,105.9,176.6,28.7,11.5,7.63,Poor,2022,2022-01
2022-01-17,Delhi,Delhi,177.6,80.9,133.8,33.5,7.5,6.47,Moderate,2022,2022-01
2022-01-18,Delhi,Delhi,169.0,94.9,108.4,15.1,7.5,4.47,Moderate,2022,2022-01
2022-01-19,Delhi,Delhi,195.9,112.2,122.4,36.7,11.2,10.25,Moderate,2022,2022-01
2022-01-20,Delhi,Delhi,182.9,108.8,123.9,17.0,7.6,6.78,Moderate,2022,2022-01
2022-01-21,Delhi,Delhi,182.2,69.5,137.4,23.7,7.5,4.52,Moderate,2022,2022-01
2022-01-22,Delhi,Delhi,181.4,83.6,168.2,21.5,10.1,8.73,Moderate,2022,2022-01
2022-01-23,Delhi,Delhi,181.3,110.8,118.0,25.3,8.2,5.69,Moderate,2022,2022-01
2022-01-24,Delhi,Delhi,173.9,67.6,138.1,24.4,5.7,5.42,Moderate,2022,2022-01
2022-01-25,Delhi,Delhi,171.3,71.1,127.8,34.0,7.2,8.03,Moderate,2022,2022-01
2022-01-26,Delhi,Delhi,182.3,102.6,117.6,30.5,8.8,8.25,Moderate,2022,2022-01
2022-01-27,Delhi,Delhi,188.6,75.7,166.7,22.3,7.4,4.08,Moderate,2022,2022-01
2022-01-28,Delhi,Delhi,224.2,117.0,184.1,18.4,12.5,6.51,Poor,2022,2022-01
2022-01-29,Delhi,Delhi,152.0,82.9,107.1,29.2,5.6,5.11,Moderate,2022,2022-01
2022-01-30,Delhi,Delhi,186.0,75.8,171.1,34.5,8.0,8.63,Moderate,2022,2022-01
2022-01-31,Delhi,Delhi,180.6,91.6,116.8,16.5,13.5,10.12,Moderate,2022,2022-01
2022-02-01,Delhi,Delhi,199.0,105.9,136.4,24.3,13.2,11.12,Moderate,2022,2022-02
2022-02-02,Delhi,Delhi,175.5,93.7,102.4,17.4,13.2,7.77,Moderate,2022,2022-02
2022-02-03,Delhi,Delhi,177.7,67.9,104.9,28.4,5.4,4.7,Moderate,2022,2022-02
2022-02-04,Delhi,Delhi,211.4,113.4,135.2,35.0,8.8,6.98,Poor,2022,2022-02
2022-02-05,Delhi,Delhi,180.5,100.9,146.2,32.8,11.3,7.71,Moderate,2022,2022-02
2022-02-06,Delhi,Delhi,164.5,73.0,106.5,32.4,8.2,9.16,Moderate,2022,2022-02
2022-02-07,Delhi,Delhi,153.2,81.4,133.0,21.5,9.0,6.08,Moderate,2022,2022-02
2022-02-08,Delhi,Delhi,183.8,82.2,102.9,28.9,7.1,10.59,Moderate,2022,2022-02
2022-02-09,Delhi,Delhi,150.9,91.9,138.2,18.8,4.6,8.62,Moderate,2022,2022-02
2022-02-10,Delhi,Delhi,180.4,110.3,160.8,20.8,8.9,9.75,Moderate,2022,2022-02
2022-02-11,Delhi,Delhi,168.3,76.8,104.0,24.7,12.9,8.05,Moderate,2022,2022-02
2022-02-12,Delhi,Delhi,150.3,79.3,142.2,14.5,8.4,8.28,Moderate,2022,2022-02
2022-02-13,Delhi,Delhi,173.3,96.7,143.6,28.5,8.3,5.5,Moderate,2022,2022-02
2022-02-14,Delhi,Delhi,181.3,106.6,166.0,25.6,10.0,9.42,Moderate,2022,2022-02
2022-02-15,Delhi,Delhi,181.3,97.2,150.6,31.8,13.5,6.08,Moderate,2022,2022-02
2022-02-16,Delhi,Delhi,152.7,79.2,86.2,20.7,8.7,4.8,Moderate,2022,2022-02
2022-02-17,Delhi,Delhi,164.6,85.9,92.5,13.9,11.7,5.66,Moderate,2022,2022-02
2022-02-18,Delhi,Delhi,171.3,96.7,109.0,26.5,5.9,3.78,Moderate,2022,2022-02
2022-02-19,Delhi,Delhi,145.9,74.1,111.8,22.8,9.7,8.61,Moderate,2022,2022-02
2022-02-20,Delhi,Delhi,124.9,71.3,82.2,16.6,4.2,2.62,Moderate,2022,2022-02
2022-02-21,Delhi,Delhi,174.0,106.3,153.9,28.4,8.8,4.69,Moderate,2022,2022-02
2022-02-22,Delhi,Delhi,159.3,81.5,133.1,25.4,7.0,9.27,Moderate,2022,2022-02
2022-02-23,Delhi,Delhi,155.3,86.5,119.9,23.8,7.9,4.65,Moderate,2022,2022-02
2022-02-24,Delhi,Delhi,197.9,75.9,118.1,16.9,6.3,10.73,Moderate,2022,2022-02
2022-02-25,Delhi,Delhi,154.1,84.6,114.0,14.1,8.4,6.0,Moderate,2022,2022-02
2022-02-26,Delhi,Delhi,164.2,78.1,130.8,25.6,5.3,5.74,Moderate,2022,2022-02
2022-02-27,Delhi,Delhi,142.1,75.3,106.7,26.0,8.9,3.77,Moderate,2022,2022-02
2022-02-28,Delhi,Delhi,174.2,67.3,136.6,33.6,10.2,6.19,Moderate,2022,2022-02
2022-03-01,Delhi,Delhi,149.1,79.7,109.3,21.7,11.5,5.28,Moderate,2022,2022-03
2022-03-02,Delhi,Delhi,168.6,67.0,114.3,30.6,5.3,8.87,Moderate,2022,2022-03
2022-03-03,Delhi,Delhi,148.6,66.5,88.7,24.3,9.1,8.19,Moderate,2022,2022-03
2022-03-04,Delhi,Delhi,180.4,80.8,112.0,30.7,12.7,10.76,Moderate,2022,2022-03
2022-03-05,Delhi,Delhi,176.3,84.5,123.2,30.5,8.3,10.09,Moderate,2022,2022-03
2022-03-06,Delhi,Delhi,157.5,88.3,134.2,14.6,11.8,6.33,Moderate,2022,2022-03
2022-03-07,Delhi,Delhi,186.8,108.0,126.6,35.0,9.2,3.82,Moderate,2022,2022-03
2022-03-08,Delhi,Delhi,169.5,103.1,132.1,26.4,8.9,5.38,Moderate,2022,2022-03
2022-03-09,Delhi,Delhi,159.5,73.2,130.6,27.2,11.1,8.23,Moderate,2022,2022-03
2022-03-10,Delhi,Delhi,162.1,63.8,124.8,21.6,12.1,5.52,Moderate,2022,2022-03
2022-03-11,Delhi,Delhi,142.4,58.1,86.5,24.4,8.7,3.42,Moderate,2022,2022-03
2022-03-12,Delhi,Delhi,167.8,66.7,147.4,27.6,5.7,3.92,Moderate,2022,2022-03
2022-03-13,Delhi,Delhi,151.1,93.2,105.7,18.8,10.7,8.75,Moderate,2022,2022-03
2022-03-14,Delhi,Delhi,146.4,82.9,113.2,19.2,11.0,3.58,Moderate,2022,2022-03
2022-03-15,Delhi,Delhi,157.6,78.5,87.4,21.5,5.2,3.9,Moderate,2022,2022-03
2022-03-16,Delhi,Delhi,169.5,94.7,132.7,33.1,8.3,5.33,Moderate,2022,2022-03
2022-03-17,Delhi,Delhi,143.9,84.7,92.0,28.2,4.4,8.46,Moderate,2022,2022-03
2022-03-18,Delhi,Delhi,167.3,66.5,129.0,32.8,9.4,7.56,Moderate,2022,2022-03
2022-03-19,Delhi,Delhi,162.6,88.9,119.0,25.2,9.6,9.11,Moderate,2022,2022-03
2022-03-20,Delhi,Delhi,210.9,94.2,131.9,28.6,10.1,9.14,Poor,2022,2022-03
2022-03-21,Delhi,Delhi,144.3,57.5,135.6,28.6,9.4,5.98,Moderate,2022,2022-03
